Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Cmp%,PrgDist,Shrt Cmp%,Med Cmp%,Long Cmp%,Ast,xA,A-xA,Key Passes,Final 1/3,PenBoxPasses,CrsPenBox,Prog,Matches
78,Tom Cairney,sco SCO,MF,Fulham,30-045,1991,8.4,73.9,88.7,239.2,94.3,91.9,78.1,0.12,0.17,-0.05,2.38,7.26,1.19,0.6,3.81,Matches
79,Dominic Calvert-Lewin,eng ENG,FW,Everton,23-355,1997,21.9,22,72,37.9,77.7,69,80.5,0,0.05,-0.05,0.59,0.96,0.32,0,1.19,Matches
80,João Cancelo,pt POR,DF,Manchester City,26-283,1994,19.9,83.1,86.2,354.6,92.3,88.1,70.7,0.1,0.19,-0.09,1.81,5.88,2.81,0.4,6.83,Matches
81,Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,21-025,2000,2.8,31.4,69.3,137.1,78,75,50,0,0.14,-0.14,0.71,2.14,2.5,0.36,5.71,Matches
82,Andy Carroll,eng ENG,FW,Newcastle Utd,32-059,1989,4.2,31.2,63.4,90,71.4,57.1,50,0,0.02,-0.02,0.48,2.14,0.71,0,2.38,Matches
83,Matty Cash,eng ENG,DF,Aston Villa,23-211,1997,20.2,48.7,74.6,245.4,88.9,78.8,48.4,0.1,0.08,0.01,0.89,2.77,0.84,0.64,2.08,Matches
84,Kiko Casilla,es ESP,GK,Leeds United,34-155,1986,1,33,97,519,100,100,90.9,0,0,0,0,0,0,0,0,Matches
85,Timothy Castagne,be BEL,DF,Leicester City,25-091,1995,15.1,53.6,80.8,259.3,89.7,82.6,47.5,0.13,0.07,0.06,0.86,2.38,0.93,0.2,3.25,Matches
86,Jonny Castro,es ESP,DF,Wolves,27-003,1994,3.5,43.1,78.1,166.9,88.3,87.5,41.7,0,0.03,-0.03,0.57,1.14,0,0,1.43,Matches
87,Ivan Cavaleiro,pt POR,"FW,MF",Fulham,27-139,1993,18.3,31.2,73.2,81.8,83.2,79.8,48.1,0,0.12,-0.12,1.64,0.66,0.98,0.33,1.75,Matches
88,Edinson Cavani,uy URU,FW,Manchester Utd,34-020,1987,10.3,22.5,77.6,41.3,82.7,78.7,88.5,0.19,0.17,0.03,0.87,0.78,0.87,0.1,1.26,Matches
89,Dani Ceballos,es ESP,MF,Arsenal,24-211,1996,12.4,70.2,86,297.6,89.7,91.1,75.6,0.16,0.18,-0.02,1.45,7.9,1.29,0.16,6.85,Matches
90,Ben Chilwell,eng ENG,DF,Chelsea,24-075,1996,18.5,75.6,78.9,353,91.3,82.3,48.4,0.22,0.08,0.14,1.03,4.22,0.92,0.32,5.84,Matches
91,Hamza Choudhury,eng ENG,MF,Leicester City,23-156,1997,3.4,67.9,81,181.2,80.7,86.1,74.3,0,0,0,0,3.82,0,0,2.35,Matches
92,Andreas Christensen,dk DEN,DF,Chelsea,24-330,1996,9.1,72.7,93.1,362.3,93.9,95.6,85.3,0,0,0,0.11,2.31,0,0,2.97,Matches
93,Ciaran Clark,ie IRL,DF,Newcastle Utd,31-161,1989,14.4,37.1,83.1,208.1,88.2,89,66,0,0.01,-0.01,0.14,2.01,0.14,0,1.94,Matches
94,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29-335,1991,12.7,44.8,76.8,216.5,91.4,79.6,38.7,0.08,0.03,0.05,0.31,1.5,1.02,0.47,1.97,Matches
95,Conor Coady,eng ENG,DF,Wolves,28-009,1993,25.7,47.1,87,386,94.5,94.8,73.9,0,0,0,0.08,1.75,0,0,1.6,Matches
96,Séamus Coleman,ie IRL,DF,Everton,32-146,1988,9.8,48.1,83,268.2,90.3,89,57.1,0.1,0.08,0.02,0.61,1.73,0.61,0.1,2.24,Matches
97,Aaron Connolly,ie IRL,FW,Brighton,21-037,2000,8,11.5,78.3,19.9,82,85.7,80,0.13,0.03,0.1,0.5,0.25,0.13,0,0.38,Matches
98,Liam Cooper,sco SCO,DF,Leeds United,29-188,1991,19.8,66,88,391.9,94.4,95,71.2,0,0,0,0,3.28,0.1,0,2.83,Matches
99,Jack Cork,eng ENG,MF,Burnley,31-254,1989,8.2,32.2,79.9,87,86.2,90.7,62.2,0,0.02,-0.02,0.37,1.95,0.24,0,2.32,Matches
100,Hélder Costa,pt POR,MF,Leeds United,27-053,1994,9.5,28.2,75,79.5,88.1,75.9,35,0.32,0.09,0.22,0.95,0.74,1.16,0.42,1.37,Matches
101,Vladimír Coufal,cz CZE,DF,West Ham,28-196,1992,21.9,47.5,71.4,298.3,86.8,74.7,44.6,0.14,0.13,0,1.28,2.74,1.23,0.64,3.84,Matches
102,Aaron Cresswell,eng ENG,DF,West Ham,31-081,1989,26,59.3,74.4,425.7,88.7,84.2,48.5,0.23,0.15,0.08,1.54,4.19,0.62,0.42,3.46,Matches
103,Patrick Cutrone,it ITA,"FW,MF",Wolves,23-062,1998,0.3,16.7,80,6.67,66.7,100,,0,0,0,0,0,0,0,0,Matches
104,Stuart Dallas,nir NIR,"DF,MF",Leeds United,29-321,1991,25.9,62.9,82.4,289.2,90.6,84,60,0.08,0.06,0.02,0.66,3.78,1.04,0.27,4.79,Matches
105,Scott Dann,eng ENG,DF,Crystal Palace,34-020,1987,12,44.3,85.7,354.7,91,93.7,61.5,0,0,0,0.08,1.67,0,0,2.17,Matches
106,Karl Darlow,eng ENG,GK,Newcastle Utd,30-149,1990,25,29,50.1,457.1,100,96.5,38.9,0,0,0,0.04,0.32,0,0,0,Matches
107,Ben Davies,wal WAL,DF,Tottenham,27-316,1993,14.6,52,78,277.8,90.2,84.8,41.6,0.07,0.04,0.03,0.48,2.74,0.62,0.27,2.81,Matches
108,Tom Davies,eng ENG,"MF,DF",Everton,22-249,1998,9.7,43.5,81.8,169.8,88.6,86.7,68.8,0,0.05,-0.05,0.31,2.27,0.72,0.21,2.68,Matches
109,Keinan Davis,eng ENG,FW,Aston Villa,23-021,1998,0.7,41.4,79.3,85.7,93.3,66.7,,0,0,0,1.43,0,2.86,0,2.86,Matches
110,Leif Davis,eng ENG,DF,Leeds United,21-053,2000,0.4,50,85,395,100,90.9,50,0,0,0,0,0,2.5,0,2.5,Matches
111,Craig Dawson,eng ENG,DF,West Ham,30-304,1990,11,32.9,79.6,175.6,93.3,90.3,58.1,0,0,0,0.09,1.91,0,0,1.45,Matches
112,Kevin De Bruyne,be BEL,MF,Manchester City,29-251,1991,18.4,63.5,75.7,272.7,84.8,82.1,60,0.6,0.4,0.2,3.26,5.87,3.37,0.33,7.72,Matches
113,Liam Delap,eng ENG,FW,Manchester City,18-026,2003,0.4,17.5,71.4,0,66.7,,,0,0,0,0,0,0,0,0,Matches
114,Fabian Delph,eng ENG,"MF,DF",Everton,31-105,1989,2.4,82.1,88.3,345.8,93.1,93.8,61.5,0,0,0,0.42,5.83,0.42,0,6.25,Matches
115,Leander Dendoncker,be BEL,"MF,DF",Wolves,25-325,1995,19.7,38.7,86.5,138.8,88.8,87.9,84.3,0,0.03,-0.03,0.76,2.18,0.25,0.1,2.13,Matches
116,Mbaye Diagne,sn SEN,FW,West Brom,29-129,1991,6.2,14,75.9,27.3,90.7,60.6,66.7,0.16,0.08,0.08,0.81,0.97,0.16,0.16,0.97,Matches
117,Ibrahima Diallo,fr FRA,MF,Southampton,21-363,1999,4.9,51.8,82.7,151,88.1,89.6,45.7,0,0.02,-0.02,0.61,1.43,0.2,0,2.45,Matches
118,Grady Diangana,eng ENG,"MF,FW",West Brom,22-321,1998,12.1,25.1,73.7,63.4,80.6,82,22.7,0,0.01,-0.01,0.33,1.16,0.5,0,1.9,Matches
119,Raphael Dias Belloli,br BRA,MF,Leeds United,24-082,1996,18,41.3,68,219.7,85.9,74.1,47.4,0.28,0.27,0.01,2.56,3.28,1.89,0.44,5.78,Matches
120,Rúben Dias,pt POR,DF,Manchester City,23-296,1997,23.8,85.1,93.6,452.7,94.7,96.5,85.2,0,0,0,0.08,5.25,0.21,0.04,3.78,Matches
121,Eric Dier,eng ENG,DF,Tottenham,27-050,1994,21,57.6,83.9,360,90,92.1,67.2,0,0.01,-0.01,0.14,2.48,0.24,0,2.33,Matches
122,Lucas Digne,fr FRA,"DF,MF",Everton,27-229,1993,17.8,59.4,72.3,305.3,86.1,76.6,46.6,0.34,0.16,0.17,1.29,2.47,1.07,0.79,3.82,Matches
123,Virgil van Dijk,nl NED,DF,Liverpool,29-241,1991,4.1,79.8,90.2,518.8,93.8,94.6,77.3,0,0,0,0,6.34,0,0,4.88,Matches
124,Issa Diop,fr FRA,DF,West Ham,24-056,1997,6.3,39.7,87.6,207.9,95.9,92.9,68.4,0,0,0,0,1.59,0,0,1.11,Matches
125,Moussa Djenepo,ml MLI,MF,Southampton,22-264,1998,11.5,29.1,72.2,84.9,81.8,80.6,51.9,0,0.04,-0.04,0.52,1.39,0.96,0.09,1.74,Matches
126,Matt Doherty,ie IRL,DF,Tottenham,29-049,1992,10.7,56.4,77.3,274.4,87.5,75.1,50,0.09,0.06,0.04,0.65,1.4,0.84,0.37,3.08,Matches
127,Gabriel Dos Santos,br BRA,DF,Arsenal,23-077,1997,14.2,71.3,86.6,350,91.1,93,68.9,0,0,0,0.07,3.59,0.07,0,2.11,Matches
128,Abdoulaye Doucouré,fr FRA,MF,Everton,28-064,1993,23.7,48.9,85.8,151.6,88.3,90.2,76.4,0.13,0.1,0.03,0.76,2.66,0.72,0.04,2.24,Matches
129,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32-050,1989,1,33,72.7,672,100,100,55,0,0,0,0,1,0,0,0,Matches
130,Paul Dummett,wal WAL,DF,Newcastle Utd,29-161,1991,1.9,25.8,77.6,175.3,100,75,28.6,0,0,0,0,3.16,0,0,1.05,Matches
131,Lewis Dunk,eng ENG,DF,Brighton,29-105,1991,23,64.7,89.3,360.7,94,95.1,75.2,0,0.03,-0.03,0.3,3.52,0,0,2.3,Matches
132,Jimmy Dunne,ie IRL,DF,Burnley,23-138,1997,2,44.5,67.4,128,75,72.5,50,0,0.05,-0.05,1,0,0.5,0,0.5,Matches
133,Ederson,br BRA,GK,Manchester City,27-201,1993,26,29.7,83.2,394.4,95.5,99.2,61.3,0.04,0.02,0.02,0.04,0.12,0.08,0,0,Matches
134,Kyle Edwards,eng ENG,"MF,FW",West Brom,23-017,1998,1.3,26.9,85.7,70,100,92.3,0,0,0,0,0,2.31,0,0,2.31,Matches
135,John Egan,ie IRL,DF,Sheffield Utd,28-137,1992,21.1,37.7,83.8,240,90.4,89.9,69.7,0.05,0.01,0.04,0.09,2.89,0.24,0,2.32,Matches
136,Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-178,1987,4.8,66.7,74.7,341.3,89.6,74.5,50,0,0.1,-0.1,1.67,2.92,2.5,1.04,3.33,Matches
137,Mohamed Elneny,eg EGY,MF,Arsenal,28-238,1992,11.9,57.9,92.6,216.3,94.6,95.2,84.8,0,0.02,-0.02,0.34,3.87,0.42,0,3.11,Matches
138,Jonny Evans,nir NIR,DF,Leicester City,33-062,1988,21.5,60.4,86.2,330.8,90.9,93,67.3,0.05,0.01,0.04,0.28,2.65,0,0,1.81,Matches
139,Eberechi Eze,eng ENG,MF,Crystal Palace,22-250,1998,20.5,40,78.4,149.8,88.8,79.8,45.7,0.15,0.08,0.06,1.32,2.54,1.12,0.15,4.1,Matches
140,Łukasz Fabiański,pl POL,GK,West Ham,35-322,1985,24,28.6,61.4,518.7,97.5,97.7,49,0,0,0,0,0.67,0,0,0,Matches
141,Fabinho,br BRA,"DF,MF",Liverpool,27-134,1993,18.4,78.8,91.9,396.1,94,95.8,79.4,0,0.02,-0.02,0.16,3.32,0.16,0.05,3.26,Matches
142,Bruno Fernandes,pt POR,MF,Manchester Utd,26-179,1994,25.4,66.5,73.7,281.5,83.5,80.7,57.1,0.39,0.37,0.02,2.95,5.51,2.91,0.28,6.97,Matches
143,Federico Fernández,ar ARG,DF,Newcastle Utd,32-013,1989,15.3,37.1,78.5,191.9,86.9,85.8,62.9,0,0.01,-0.01,0.2,0.92,0.13,0.07,0.98,Matches
144,Fernandinho,br BRA,MF,Manchester City,35-306,1985,7.8,80.6,86.8,322.2,90.9,89.6,71.9,0,0.04,-0.04,0.38,11.4,0.9,0.13,7.18,Matches
145,Sam Field,eng ENG,MF,West Brom,22-302,1998,0.7,32.9,65.2,58.6,71.4,80,33.3,0,0,0,0,1.43,0,0,2.86,Matches
146,Roberto Firmino,br BRA,FW,Liverpool,29-155,1991,23.8,39.9,79.8,108.1,85.2,79.5,70,0.21,0.16,0.05,1.22,2.27,1.09,0,3.7,Matches
147,John Fleck,sco SCO,MF,Sheffield Utd,29-194,1991,17.6,43.4,76.7,170.9,89.8,80.7,41,0.11,0.11,0.01,1.25,4.38,0.97,0.06,3.58,Matches
148,Phil Foden,eng ENG,"FW,MF",Manchester City,20-282,2000,13.7,46,81.4,114.9,90.3,83.1,47.7,0.22,0.24,-0.02,1.9,1.82,1.17,0.07,3.21,Matches
149,Wesley Fofana,fr FRA,DF,Leicester City,20-079,2000,15.7,59.7,86.2,300.3,89.1,91,73.2,0,0.01,-0.01,0.19,3.89,0,0,2.87,Matches
150,Pablo Fornals,es ESP,"FW,MF",West Ham,25-012,1996,19,34.6,76.9,123.8,87.8,75.5,60.5,0.16,0.1,0.06,0.95,2.26,1.11,0.16,3.37,Matches
151,Fraser Forster,eng ENG,GK,Southampton,32-354,1988,2,37.5,40,410.5,100,75,31.1,0,0,0,0,0.5,0,0,0,Matches
152,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,23-063,1998,0.9,83.3,86.7,286.7,88.2,94.1,50,0,0.33,-0.33,2.22,4.44,1.11,1.11,1.11,Matches
153,Ryan Fraser,sco SCO,"MF,FW",Newcastle Utd,27-010,1994,7.5,37.1,67.6,153.2,88.8,76.1,34.2,0.27,0.25,0.01,2.67,0.67,1.33,1.2,2.13,Matches
154,Fred,br BRA,MF,Manchester Utd,28-001,1993,18.4,65,87.3,273.8,91,91.5,79.5,0,0.1,-0.1,0.87,6.52,0.76,0,5.65,Matches
155,Ryan Fredericks,eng ENG,"DF,FW",West Ham,28-147,1992,4.9,44.7,71.7,169.6,85,68.8,33.3,0.2,0.24,-0.04,2.45,1.63,2.24,1.43,2.65,Matches
156,Christian Fuchs,at AUT,DF,Leicester City,34-333,1986,7.8,75.5,81.2,449.1,89.1,85.2,59.1,0,0,0,0.13,5.38,0.26,0.13,4.23,Matches
157,Darnell Furlong,eng ENG,DF,West Brom,25-126,1995,21.6,37.4,60,181.6,78.8,61.6,35,0.09,0.08,0.01,0.65,1.76,0.6,0.51,2.41,Matches
158,Conor Gallagher,eng ENG,MF,West Brom,21-028,2000,19.9,34.4,80.6,110.5,85.6,90.3,58.8,0.1,0.04,0.06,0.55,3.02,0.55,0.1,1.96,Matches
159,Eric García,es ESP,DF,Manchester City,20-056,2001,2.2,100.5,94.1,551.4,94.4,97.4,82.4,0,0.05,-0.05,0.91,9.09,0,0,5.45,Matches
160,Dwight Gayle,eng ENG,FW,Newcastle Utd,30-140,1990,2,19,81.6,25,89.5,86.7,0,0,0,0,0.5,0,0,0,0.5,Matches
161,David de Gea,es ESP,GK,Manchester Utd,30-119,1990,23.5,22.7,76.8,275.8,99.2,95.9,52.5,0,0,0,0,0.13,0,0,0,Matches
162,Anwar El Ghazi,nl NED,FW,Aston Villa,25-307,1995,9,36.1,68.6,124.2,80.7,70.6,42.6,0,0.19,-0.19,1.89,1.67,1.44,0.67,2.89,Matches
163,Kieran Gibbs,eng ENG,DF,West Brom,31-161,1989,9,34.6,71.7,159.6,88,72.9,38.9,0,0.03,-0.03,0.33,1.67,0.33,0.33,1.78,Matches
164,Morgan Gibbs-White,eng ENG,"FW,MF",Wolves,21-038,2000,1.1,50.9,78.6,126.4,87.5,92.3,37.5,0,0.09,-0.09,2.73,2.73,0,0,4.55,Matches
165,Billy Gilmour,sco SCO,MF,Chelsea,19-268,2001,0.4,90,83.3,147.5,88.9,72.2,100,0,0,0,0,5,0,0,0,Matches
166,Olivier Giroud,fr FRA,FW,Chelsea,34-157,1986,7.9,25.2,75.4,27.7,78.7,68.6,100,0,0.09,-0.09,0.89,0.76,0.13,0,0.76,Matches
167,Ben Godfrey,eng ENG,DF,Everton,23-050,1998,18.7,42.1,84.1,175.3,87.5,90.7,65.9,0.05,0,0.05,0,2.14,0.16,0.05,1.55,Matches
168,André Gomes,pt POR,MF,Everton,27-219,1993,13.3,51.3,83.6,196.8,87,89.6,71.2,0.08,0.02,0.05,0.68,4.51,0.68,0.08,4.21,Matches
169,Joe Gomez,eng ENG,DF,Liverpool,23-287,1997,6.6,80.8,90.2,464.5,93.4,94,80.3,0,0,0,0.15,4.55,0,0,5.76,Matches
170,Anthony Gordon,eng ENG,"FW,MF",Everton,20-010,2001,1,26,84.6,94,92.3,100,50,0,0,0,1,1,2,0,3,Matches
171,Karlan Grant,eng ENG,"FW,MF",West Brom,23-169,1997,12,18,72.2,25.6,78.6,85.7,50,0,0,0,0,0.33,0.33,0,0.67,Matches
172,Demarai Gray,eng ENG,FW,Leicester City,24-251,1996,0.2,60,58.3,70,100,100,0,0,0,0,0,5,0,0,5,Matches
173,Jack Grealish,eng ENG,"FW,MF",Aston Villa,25-177,1995,22,45.5,78.1,211.5,84.4,85,60.4,0.45,0.37,0.09,3.45,3.32,2.86,0.18,6.82,Matches
174,Mason Greenwood,eng ENG,FW,Manchester Utd,19-156,2001,13.2,35.2,84.1,77.7,91,85.4,63.3,0.08,0.06,0.02,0.68,1.21,0.83,0.15,2.05,Matches
175,Pascal Groß,de GER,MF,Brighton,29-264,1991,15.9,62.6,76.3,266.5,83.7,84.9,56.3,0.25,0.25,0,2.83,3.9,2.08,0.82,5.03,Matches
176,Kamil Grosicki,pl POL,"FW,MF",West Brom,32-271,1988,1.6,30.6,65.3,106.9,81.3,75,20,0.63,0.06,0.56,1.88,2.5,0.63,0,3.13,Matches
177,Vicente Guaita,es ESP,GK,Crystal Palace,34-055,1987,27,28.4,55.7,418.1,98.3,96.6,40.6,0,0,0,0,0.3,0,0,0,Matches
178,İlkay Gündoğan,de GER,MF,Manchester City,30-133,1990,17.3,72.3,90.2,210.2,94.4,92.2,72.4,0.06,0.2,-0.14,1.62,5.9,1.45,0,5.61,Matches
179,Antwoine Hackford,eng ENG,"DF,FW",Sheffield Utd,16-351,2004,0.1,10,100,0,,,,0,0,0,0,0,0,0,0,Matches
180,Sébastien Haller,ci CIV,FW,West Ham,26-257,1994,10.4,24.2,67.9,50.5,72.3,72.3,60.7,0,0.12,-0.12,0.87,1.25,0.48,0.1,1.83,Matches
181,Rekeem Harper,eng ENG,MF,West Brom,20-363,2000,0.4,40,81.3,82.5,83.3,100,33.3,0,0,0,0,5,0,0,2.5,Matches
182,Jack Harrison,eng ENG,MF,Leeds United,24-106,1996,21.7,37.2,69,139.1,79,78.2,40.5,0.18,0.2,-0.02,1.89,1.11,2.12,0.55,3.46,Matches
183,Kortney Hause,eng ENG,DF,Aston Villa,25-233,1995,4,35.3,74.5,154,75.9,85.1,52.9,0,0,0,0,2,0,0,1.5,Matches
184,Kai Havertz,de GER,"MF,FW",Chelsea,21-268,1999,11,49.5,85,100.6,90.3,85.7,76.9,0.18,0.12,0.06,1.18,2.91,1.18,0.18,2.91,Matches
185,Isaac Hayden,eng ENG,"MF,DF",Newcastle Utd,25-349,1995,19.1,37.3,80.3,131.7,86.5,87,67.6,0,0.02,-0.02,0.21,2.2,0.1,0.05,1.83,Matches
186,Michael Hector,jm JAM,DF,Fulham,28-230,1992,2.9,60.3,79.4,452.8,84,94,60.9,0,0,0,0.34,3.45,0.34,0,3.79,Matches
187,Ahmed Hegazi,eg EGY,DF,West Brom,30-040,1991,1,52,71.2,381,84.6,72,61.5,0,0,0,0,1,0,0,2,Matches
188,Dean Henderson,eng ENG,GK,Manchester Utd,23-359,1997,3.5,21.7,78.9,217.4,100,100,50,0,0,0,0,0,0,0,0,Matches
189,Jordan Henderson,eng ENG,"MF,DF",Liverpool,30-262,1990,18.9,96,86.7,454.8,92,94.4,66.4,0.05,0.07,-0.02,0.63,10.8,1.59,0.05,7.67,Matches
190,Jeff Hendrick,ie IRL,MF,Newcastle Utd,29-034,1992,14.5,33.8,80.6,117.3,85.2,89.5,65.7,0.07,0.05,0.02,0.28,1.86,0.34,0.07,2.34,Matches
191,Pablo Hernández,es ESP,MF,Leeds United,35-329,1985,3.8,82.6,74.5,397.6,81.4,81,66.1,0.53,0.16,0.37,1.32,9.74,2.89,0.26,13.2,Matches
192,Son Heung-min,kr KOR,FW,Tottenham,28-241,1992,24.9,32.6,75.7,95.6,85.6,79.1,46.1,0.32,0.27,0.05,2.17,0.96,0.8,0.08,1.89,Matches
193,Ki-Jana Hoever,nl NED,DF,Wolves,19-047,2002,4.4,52.3,74.8,230.2,89.1,69.5,56.5,0,0.02,-0.02,0.45,1.82,0.68,0.23,2.27,Matches
194,Rob Holding,eng ENG,DF,Arsenal,25-167,1995,20.4,61.9,88.8,340,95.3,93.1,74.9,0.05,0.01,0.04,0.2,3.87,0.29,0,3.68,Matches
195,Mason Holgate,eng ENG,DF,Everton,24-135,1996,15.8,49.8,77.6,300.7,87.2,84.8,59.6,0,0.01,-0.01,0.32,2.22,0.57,0.25,2.66,Matches
196,Conor Hourihane,ie IRL,MF,Aston Villa,30-032,1991,2.5,62,74.8,222.8,88.6,81.3,58.7,0.4,0.32,0.08,1.6,7.2,0.8,0.4,3.6,Matches
197,Callum Hudson-Odoi,eng ENG,"FW,DF",Chelsea,20-119,2000,9.1,54.3,81,174.6,87.9,83.7,63,0.22,0.25,-0.03,2.64,1.87,2.86,0.99,4.29,Matches
198,Niall Huggins,wal WAL,DF,Leeds United,20-078,2000,0.4,57.5,73.9,142.5,78.6,100,0,0,0,0,0,2.5,0,0,0,Matches
199,Pierre Højbjerg,dk DEN,MF,Tottenham,25-213,1995,26,71.2,88.5,322,90.6,91,77.8,0.12,0.05,0.07,0.46,6.58,0.5,0.04,5.12,Matches
200,Odion Ighalo,ng NGA,FW,Manchester Utd,31-263,1989,0.1,10,100,0,100,,,0,0,0,0,0,0,0,0,Matches
201,Kelechi Iheanacho,ng NGA,FW,Leicester City,24-154,1996,6.1,24.6,79.3,36.7,87.5,82.1,40,0,0.13,-0.13,1.15,1.31,0.82,0,1.31,Matches
202,Danny Ings,eng ENG,FW,Southampton,28-226,1992,18.6,21.2,64.5,55.9,76.1,64,45.7,0.16,0.11,0.05,0.91,0.91,0.81,0.27,1.83,Matches
203,Branislav Ivanović,rs SRB,DF,West Brom,37-012,1984,8.4,36.8,85.8,169.8,90.4,90.7,73.2,0,0.01,-0.01,0.12,1.31,0.36,0,1.19,Matches
204,Alex Iwobi,ng NGA,"FW,DF",Everton,24-307,1996,13.1,40.8,75.5,171.1,86.5,78,58.3,0.15,0.13,0.02,0.92,1.6,1.83,0.61,3.97,Matches
205,Phil Jagielka,eng ENG,DF,Sheffield Utd,38-201,1982,4.8,30.8,75,129.4,85.7,79.2,66.1,0,0,0,0,0.83,0,0,1.04,Matches
206,Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,27-207,1993,2.9,39.7,73,105.2,85.1,74.4,60,0.34,0.62,-0.28,2.41,1.03,2.76,1.03,2.76,Matches
207,Daniel James,wal WAL,FW,Manchester Utd,23-116,1997,6.1,33.4,76,81.3,80.8,77,60,0,0.05,-0.05,0.82,0.82,1.31,0.33,2.62,Matches
208,Reece James,eng ENG,DF,Chelsea,21-088,1999,17.9,75.6,83.7,295.6,91.6,89,62,0.11,0.12,-0.01,1.4,3.3,2.12,1.17,4.92,Matches
209,Alexandre Jankewitz,ch SUI,MF,Southampton,19-071,2001,0,3,66.7,25,100,100,,0,0,0,0,0,1,0,1,Matches
210,Gabriel Jesus,br BRA,FW,Manchester City,23-337,1997,14.7,30.6,83.8,34.8,88.8,84.8,61.5,0.2,0.17,0.03,1.22,0.95,0.48,0,1.02,Matches
211,Raúl Jiménez,mx MEX,FW,Wolves,29-305,1991,9.1,28.9,78.7,61.6,84,81.3,68.8,0,0.09,-0.09,0.88,1.76,0.99,0,2.09,Matches
212,Joelinton,br BRA,"FW,MF",Newcastle Utd,24-204,1996,14.1,29.9,73.9,60.5,83.5,73.4,55.6,0.14,0.09,0.05,0.85,0.99,0.43,0.07,1.13,Matches
213,Ben Johnson,eng ENG,DF,West Ham,21-041,2000,3.6,33.3,74.2,168.3,91.5,65.7,44.4,0,0,0,0.28,2.22,0,0,2.22,Matches
214,Sam Johnstone,eng ENG,GK,West Brom,27-346,1993,26,34.2,51.6,488.8,100,95.3,39.8,0,0,0,0,0.69,0,0,0,Matches
215,Curtis Jones,eng ENG,MF,Liverpool,20-035,2001,12.1,74.3,91.3,243.7,93.4,95.1,80.8,0.08,0.09,-0.01,0.99,7.85,1.82,0.17,5.37,Matches
216,Jorginho,it ITA,MF,Chelsea,29-076,1991,14,77.1,89.1,295.3,91.6,91.8,76.4,0.07,0.1,-0.03,1.07,6.79,0.86,0,4.79,Matches
217,Willian José,br BRA,FW,Wolves,29-103,1991,5.7,21.9,82.4,37.4,84.2,87.8,93.3,0,0.05,-0.05,1.05,1.05,0.18,0,1.23,Matches
218,Diogo Jota,pt POR,"FW,MF",Liverpool,24-092,1996,5.9,37.3,80.5,112.4,89.1,75.7,71.4,0,0.2,-0.2,1.02,3.05,0.68,0,3.56,Matches
219,James Justin,eng ENG,DF,Leicester City,23-011,1998,23,54.3,79.2,240.3,89,83,48.2,0.04,0.07,-0.03,0.78,2.43,1.43,0.3,4,Matches
220,Ozan Kabak,tr TUR,DF,Liverpool,20-346,2000,4,67.3,91.8,332,95.1,96.9,76.3,0,0,0,0,2.25,0,0,2,Matches
221,Aboubakar Kamara,fr FRA,"FW,DF",Fulham,25-364,1995,3.5,36.6,71.9,116.9,80.7,85.4,33.3,0,0.11,-0.11,1.71,1.14,1.14,0.29,3.14,Matches
222,Harry Kane,eng ENG,FW,Tottenham,27-221,1993,23.4,26.5,71.5,127.9,78.1,76,64.3,0.47,0.22,0.25,1.45,3.42,1.37,0.26,4.44,Matches
223,N'Golo Kanté,fr FRA,MF,Chelsea,29-342,1991,20,63.5,86.8,226.6,89.5,90.8,74.5,0.1,0.05,0.05,0.9,4.3,0.55,0.05,4.2,Matches
224,Moise Kean,it ITA,FW,Everton,21-006,2000,0.2,45,77.8,0,66.7,100,100,0,0,0,0,0,0,0,0,Matches
225,Michael Keane,eng ENG,DF,Everton,28-054,1993,23.2,58.8,88.6,369.1,91.4,95.1,72.1,0.04,0.03,0.01,0.22,3.23,0.13,0,2.72,Matches
226,Neeskens Kebano,cd COD,"FW,MF",Fulham,28-361,1992,1.3,32.3,78.6,76.2,100,54.5,33.3,0,0,0,0,0.77,0,0,1.54,Matches
227,Naby Keïta,gn GUI,MF,Liverpool,26-024,1995,4.5,60.4,88.2,195.3,87.3,94.5,80.8,0,0.13,-0.13,0.67,5.11,1.78,0,5.56,Matches
228,Caoimhín Kelleher,ie IRL,GK,Liverpool,22-103,1998,2,31,82.3,366,100,100,63.3,0,0,0,0,0,0,0,0,Matches
229,Jonjoe Kenny,eng ENG,DF,Everton,23-356,1997,0.9,67.8,77,245.6,96.6,65,75,0,0,0,0,3.33,1.11,0,4.44,Matches
230,Reda Khadra,de GER,FW,Brighton,19-245,2001,0.1,10,0,0,0,,,0,0,0,0,0,0,0,0,Matches
231,Max Kilman,eng ENG,DF,Wolves,23-287,1997,12.5,49.4,87.7,291,94.6,92.4,57,0.08,0.04,0.04,0.32,3.92,0.08,0,2.72,Matches
232,Joshua King,no NOR,"MF,FW",Everton,29-050,1992,0.9,22.2,60,21.1,53.8,100,0,0,0,0,0,0,0,0,1.11,Matches
