Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Cmp%,PrgDist,Shrt Cmp%,Med Cmp%,Long Cmp%,Ast,xA,A-xA,Key Passes,Final 1/3,PenBoxPasses,CrsPenBox,Prog,Matches
470,Jake Vokins,eng ENG,DF,Southampton,20-354,2000,0.7,31.4,90.9,164.3,100,100,0,0,0.29,-0.29,2.86,0,2.86,1.43,4.29,Matches
471,Matěj Vydra,cz CZE,FW,Burnley,28-309,1992,8,16.4,76.3,13.9,82.4,81,62.5,0,0.07,-0.07,0.75,0.25,0.38,0.13,0.38,Matches
472,Theo Walcott,eng ENG,FW,Everton,31-355,1989,0.1,10,100,100,,100,,0,0,0,0,0,0,0,0,Matches
473,Theo Walcott,eng ENG,"MF,FW",Southampton,31-355,1989,13.7,23.7,72,47.1,85,69,29.6,0.15,0.06,0.09,0.8,1.02,0.73,0.22,1.46,Matches
474,Kyle Walker,eng ENG,DF,Manchester City,30-282,1990,16.3,86,88.8,405.3,92.5,92.5,76.3,0.06,0.03,0.03,0.37,7.98,0.37,0,4.85,Matches
475,Kyle Walker-Peters,eng ENG,DF,Southampton,23-327,1997,18.8,58.5,80.3,250.6,91.5,82.2,56.9,0.05,0.02,0.03,0.53,1.97,0.43,0,2.93,Matches
476,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23-100,1997,25,59.6,85.4,278.9,92.1,86.9,52.2,0.08,0.05,0.03,0.68,2.68,0.68,0.32,3.88,Matches
477,Joel Ward,eng ENG,DF,Crystal Palace,31-128,1989,14.1,43.3,70.7,253.3,86.1,72.4,42.2,0.07,0.03,0.04,0.35,2.55,0.43,0.14,2.48,Matches
478,James Ward-Prowse,eng ENG,MF,Southampton,26-125,1994,26,70.5,81.3,261,90.5,91.4,44.8,0.19,0.11,0.08,1.5,4.15,0.62,0,4.12,Matches
479,Ollie Watkins,eng ENG,FW,Aston Villa,25-066,1995,25,22.5,70.6,37.2,76,72.3,43.5,0.12,0.12,0,1.12,1.12,0.6,0.12,0.96,Matches
480,Caleb Watts,au AUS,"MF,FW",Southampton,19-049,2002,0.2,30,50,145,50,0,100,0,0,0,0,0,5,5,0,Matches
481,Adam Webster,eng ENG,DF,Brighton,26-061,1995,21.8,61.3,81.4,374.4,84.7,89.3,65.3,0,0.01,-0.01,0.28,4.91,0.28,0.05,3.99,Matches
482,Danny Welbeck,eng ENG,FW,Brighton,30-100,1990,8.2,12.1,76.8,28,77.3,85.7,85.7,0,0.09,-0.09,0.98,0.61,0.12,0,1.1,Matches
483,Timo Werner,de GER,FW,Chelsea,25-000,1996,21.5,30.8,76.8,72.7,81.3,85.9,46.7,0.23,0.13,0.1,0.88,1.21,0.79,0.23,2.19,Matches
484,Ashley Westwood,eng ENG,MF,Burnley,30-339,1990,26.9,56.6,74,285.6,87.7,83.5,51.4,0.07,0.14,-0.07,1.34,4.72,2.01,0.41,5.06,Matches
485,Ben White,eng ENG,"DF,MF",Brighton,23-149,1997,24.5,50.4,82.6,259.6,89.9,89.7,61.2,0,0.02,-0.02,0.29,3.35,0.61,0.04,3.27,Matches
486,Georginio Wijnaldum,nl NED,MF,Liverpool,30-115,1990,24.7,54.3,92.8,167.9,93.8,94.8,88.1,0,0.05,-0.05,0.69,4.45,0.65,0.04,2.91,Matches
487,Brandon Williams,eng ENG,DF,Manchester Utd,20-184,2000,0.1,70,85.7,90,100,50,100,0,0,0,0,10,0,0,0,Matches
488,Neco Williams,wal WAL,DF,Liverpool,19-327,2001,1.9,79.5,77.5,333.7,90.8,82.4,47.8,0,0.05,-0.05,0.53,4.21,0,0,5.79,Matches
489,Rhys Williams,eng ENG,DF,Liverpool,20-031,2001,1.3,77.7,88.1,472.3,78.6,93.6,88.5,0,0.15,-0.15,0.77,5.38,0.77,0,3.85,Matches
490,Willian,br BRA,"FW,MF",Arsenal,32-209,1988,12.4,50.1,78.4,136.2,88.3,83.2,54.2,0.32,0.15,0.17,1.61,1.85,1.69,0.56,2.82,Matches
491,Joe Willock,eng ENG,MF,Arsenal,21-198,1999,2.6,35,75.8,107.3,83.3,82.4,33.3,0,0,0,0.77,3.46,1.54,0.38,2.31,Matches
492,Joe Willock,eng ENG,MF,Newcastle Utd,21-198,1999,3.9,18.7,76.7,94.4,83.9,77.4,42.9,0,0.13,-0.13,1.03,2.56,0.26,0,3.08,Matches
493,Callum Wilson,eng ENG,FW,Newcastle Utd,29-007,1992,20.1,16.1,69.4,30.1,75.3,77,64.3,0.25,0.1,0.15,0.7,0.45,0.65,0,0.95,Matches
494,Harry Winks,eng ENG,MF,Tottenham,25-032,1996,6.3,65.6,84.3,293,90.9,91,64.7,0,0.05,-0.05,0.63,7.3,0.48,0,5.4,Matches
495,Chris Wood,nz NZL,FW,Burnley,29-089,1991,19.9,20.3,67.3,24.5,72.2,68.1,56.3,0,0.05,-0.05,0.7,0.65,0.2,0,1.01,Matches
496,Granit Xhaka,ch SUI,MF,Arsenal,28-160,1992,20.1,71.8,89.3,322.1,91,93.2,81.9,0.1,0.06,0.04,0.6,8.56,1.19,0,7.51,Matches
497,Andriy Yarmolenko,ua UKR,"FW,MF",West Ham,31-134,1989,4,34.8,79.1,132.5,87,72.3,75,0.25,0.25,0,1.25,2.5,1,0.25,2.5,Matches
498,DeAndre Yedlin,us USA,DF,Newcastle Utd,27-240,1993,4.8,35.8,64.5,168.5,80.3,65.5,35.5,0,0.02,-0.02,0.63,1.04,1.25,0.21,2.71,Matches
499,Okay Yokuşlu,tr TUR,MF,West Brom,26-362,1994,3.9,36.4,85.9,148.7,92.6,83.3,76.2,0,0,0,0.26,2.31,0.26,0,2.56,Matches
